Date,Close,High,Low,Open,Volume,Daily Return,Log Return,SMA_50,SMA_200,EMA_50,Volatility_30,RSI_14,symbol_income,reportedCurrency_income,cik_income,fillingDate_income,acceptedDate_income,calendarYear_income,period_income,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link_income,finalLink_income,symbol_balance,reportedCurrency_balance,cik_balance,fillingDate_balance,acceptedDate_balance,calendarYear_balance,period_balance,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link_balance,finalLink_balance,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome_cashflow,depreciationAndAmortization_cashflow,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory_cashflow,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,10Y Treasury Yield,5Y Treasury Yield,2Y Treasury Yield,30Y Treasury Yield,CPI,BAA Corporate Bond Spread,High Yield Bond Index,repurchaseOfStock,capital_calls,distributions
2019-12-31,46.538604736328125,46.838102886512004,46.280706019796284,46.58852215255584,1641900,0.0,0.0,48.98060089111328,45.45376383781433,46.538604736328125,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.92,1.69,1.58,2.39,258.63,1.98,3.6,0,2396744000,0
2020-01-02,46.4221305847168,46.97120942918583,46.222467281414055,46.75490698834269,3372700,-0.0025027426643156048,-0.002505879760059525,48.98060089111328,45.45376383781433,46.534037122539445,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.88,1.67,1.58,2.33,259.127,1.98,3.56,0,2396744000,0
2020-01-03,46.5885124206543,46.63842982645474,45.69833931221832,45.94791999403943,2411100,0.0035841059822505628,0.0035776983801903725,48.98060089111328,45.45376383781433,46.53617340874003,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.8,1.59,1.53,2.26,259.127,1.99,3.61,0,2396744000,0
2020-01-06,46.50532531738281,46.530282436385384,45.789858285793706,45.93128619159619,2503700,-0.0017855711408077957,-0.0017871671731263718,48.98060089111328,45.45376383781433,46.53496367966719,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.81,1.61,1.54,2.28,259.127,2.02,3.57,0,2396744000,0
2020-01-07,46.50532531738281,46.846419695978675,46.41381164958547,46.530282436385384,2668500,0.0,0.0,48.98060089111328,45.45376383781433,46.53380139095016,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.83,1.62,1.54,2.31,259.127,2.03,3.54,0,2396744000,0
2020-01-08,47.20416259765625,47.42046507706609,46.48869542380657,46.50533456431372,2913300,0.015027037774794971,0.014915250340728504,48.98060089111328,45.45376383781433,46.560090065722946,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.87,1.67,1.58,2.35,259.127,2.05,3.5,0,2396744000,0
2020-01-09,48.12761306762695,48.585181516360024,47.32895333207926,47.54525899395156,4385500,0.019562903336337367,0.019374009311768116,48.98060089111328,45.45376383781433,46.621561555993694,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.85,1.65,1.58,2.38,259.127,2.03,3.49,0,2396744000,0
2020-01-10,48.01945495605469,48.41046359759758,47.828109626450484,48.2690356827736,4975400,-0.0022473192555858557,-0.0022498482672122454,48.98060089111328,45.45376383781433,46.6763809050157,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.83,1.63,1.56,2.28,259.127,1.99,3.48,0,2396744000,0
2020-01-13,48.610130310058594,48.82643276126714,47.736596175668836,48.15256511333931,3273900,0.012300750904908675,0.012225711403296197,48.98060089111328,45.45376383781433,46.752214215017375,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.85,1.65,1.58,2.3,259.127,1.99,3.48,0,2396744000,0
2020-01-14,48.34391403198242,48.951228345226,48.260718334118756,48.71828673839048,2611300,-0.005476559646685142,-0.005491610977627737,48.98060089111328,45.45376383781433,46.814633815682676,0.0,50.0,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,6173924000,3067857000,3106067000,0.5030944663,0.6349687456240048,697146000,0,697146000,1658763000,2355909000,2355909000,182398000,199648000,2314223000,0,0.3357231155,2001730000,0.3242232979,-723138000,3818015000,0.6184097828,-47952000,3865967000,0.6261766423,5.72,5.72,675900466,676167851,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,2172441000,0,2172441000,3569948000,6093599000,0,5742389000,625541000,1869860000,397508000,2267368000,22336078000,1089305000,-1089305000,25228987000,1614130000,32585506000,806159000,0,0,567402000,-1373561000,806159000,0,17482454000,458355000,0,11777835000,4898460000,0,17482454000,28495000,7000,609625000,-28495000,6428647000,7009784000,15103052000,32585506000,8093268000,32585506000,22336078000,11777835000,9605394000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,BX,USD,0001393818,2020-02-28,2020-02-28 17:00:08,2019,FY,3865967000,70999000,-1234455000,417092000,-1591527000,-237751000,0,-324358000,-1029418000,-382332000,1963107000,-60280000,8678603000,-8678603000,10645243000,-10645243000,-60280000,1146331000,0,-585340000,-2396744000,-85626000,-1921379000,-2958000,-21510000,2523651000,2545161000,1963107000,-60280000,1902827000,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/d844019d10k.htm,1.82,1.63,1.58,2.27,259.127,1.99,3.45,0,2396744000,0
