Date,index,Volatility_30,cash_and_cash_equivalents,net_debt,total_assets,total_liabilities_net_minority_interest,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,investments_in_property_plant_and_equipment,purchase_of_investment,sale_of_investment,10Y Treasury Yield,CPI,BAA Corporate Bond Spread,net_investment,capital_call,capital_call_rolling,distribution,distribution_rolling
1970-01-01 00:00:00,2020-01-01 00:00:00,0.01021693852829569,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.92,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:01,2020-01-02 00:00:00,0.01021693852829569,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.88,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:02,2020-01-03 00:00:00,0.010244649632873174,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.8,259.127,1.99,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:03,2020-01-04 00:00:00,0.010244649632873174,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.8,259.127,1.99,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:04,2020-01-05 00:00:00,0.010244649632873174,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.8,259.127,1.99,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:05,2020-01-06 00:00:00,0.010179190841199108,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.81,259.127,2.02,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:06,2020-01-07 00:00:00,0.010058961782490178,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.83,259.127,2.03,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:07,2020-01-08 00:00:00,0.010709739898245755,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.87,259.127,2.05,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:08,2020-01-09 00:00:00,0.010556697044043911,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.85,259.127,2.03,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:09,2020-01-10 00:00:00,0.01054056255828811,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.83,259.127,1.99,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:10,2020-01-11 00:00:00,0.01054056255828811,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.83,259.127,1.99,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:11,2020-01-12 00:00:00,0.01054056255828811,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.83,259.127,1.99,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:12,2020-01-13 00:00:00,0.010518524997203363,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.85,259.127,1.99,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:13,2020-01-14 00:00:00,0.011268295666896553,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.82,259.127,1.99,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:14,2020-01-15 00:00:00,0.010905795943558524,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.79,259.127,2.01,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:15,2020-01-16 00:00:00,0.011332380940561203,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.81,259.127,2.0,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:16,2020-01-17 00:00:00,0.01165041882433681,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.84,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:17,2020-01-18 00:00:00,0.01165041882433681,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.84,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:18,2020-01-19 00:00:00,0.01165041882433681,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.84,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:19,2020-01-20 00:00:00,0.01165041882433681,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.84,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:20,2020-01-21 00:00:00,0.011909910252253538,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.78,259.127,1.97,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:21,2020-01-22 00:00:00,0.01261535821178954,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.77,259.127,1.97,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:22,2020-01-23 00:00:00,0.01273050894724985,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.74,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:23,2020-01-24 00:00:00,0.013177808847711277,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.7,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:24,2020-01-25 00:00:00,0.013177808847711277,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.7,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
1970-01-01 00:00:25,2020-01-26 00:00:00,0.013177808847711277,6507874000.0,26915722000.0,79806502000.0,39006586000.0,-5953693000.0,-153386000.0,9803704000.0,-6107079000.0,-153386000.0,-58617575000.0,49567361000.0,1.7,259.127,1.98,-108184936000.0,0.0,0.0,0.0,0.0
