,fin_investing_cash_flow,fin_financing_cash_flow,fin_operating_cash_flow,cash_and_cash_equivalents,macro_10Y Treasury Yield,capital_call_proxy
2020-01-01,124.83570765056163,85.27330949365675,211.20226117033917,345.06130494313885,1.4749067313191653,0.0
2020-01-02,93.08678494144077,47.53529669289345,227.3105222040996,308.2772903785426,1.5138508776325827,0.0
2020-01-03,132.38442690503462,50.471240573621195,200.53838501809565,303.6782833174235,1.7748733061108644,0.0
2020-01-04,176.15149282040127,67.70536058141393,43.514175622168636,61.569321121425446,1.6219979902716977,138.77335665822113
2020-01-05,88.2923312638332,55.83040328158754,212.036721798011,374.5150864284817,2.111963436973303,0.0
2020-01-06,88.29315215254097,73.82841584783112,365.93982795479315,313.41664159958435,1.026737356820568,0.0
2020-01-07,178.96064077536957,57.178104130045604,172.9970548432263,342.8342050660725,1.44103619598163,0.0
2020-01-08,138.37173645764545,34.68906563398905,145.39421766085093,228.85378059162952,2.7695986000874537,0.0
2020-01-09,76.5262807032524,59.03758813015254,228.00114197835487,261.55431210229085,1.535890016325991,0.0
2020-01-10,127.12800217929824,21.406844816983455,223.42836578499288,258.8975063496827,2.6217141390514627,0.0
2020-01-11,76.82911535937689,52.71399264441308,289.4551374062311,402.16229840730387,2.1776690977950683,0.0
2020-01-12,76.71351232148716,49.16925023388848,105.65988830683341,262.1240163396907,1.095366142705871,0.0
2020-01-13,112.0981135783017,44.79707856818651,254.8535189431244,508.2660322109798,2.317664597608103,0.0
2020-01-14,4.335987767110112,46.78656221402673,244.28165459385977,343.08624190150374,1.9411663489035733,0.0
2020-01-15,13.754108374348363,2.953773862559025,189.33900972945904,172.43173400042684,1.7722664718751298,0.0
2020-01-16,71.88562353795136,36.28187730647596,225.40154884412675,287.1453706748043,2.122478546586002,0.0
2020-01-17,49.35844398327881,52.321122528527866,277.2093111198768,234.83248778435842,2.237316742783396,0.0
2020-01-18,115.7123666297637,53.99640979993501,265.4236535021338,80.56175301799757,2.35379591098731,0.0
2020-01-19,54.59879622393945,24.308121476851046,114.27355159447035,459.9470940113789,2.589126423774001,0.0
2020-01-20,29.384814933235432,81.64269602161752,261.5118640066613,370.3142542220004,2.2040679563891783,0.0
2020-01-21,173.28243844607772,28.345628794637477,195.1483546225611,353.32073178993124,1.312182955606819,0.0
2020-01-22,88.71118497567322,74.23643001316842,205.46555735116365,316.5403660299704,1.7631772711744045,0.0
2020-01-23,103.37641023439619,60.67985904679212,205.4897743251271,161.79824313075625,3.4715241676343105,0.0
2020-01-24,28.762590689327155,33.84431725390492,188.7317758401305,251.63828604445632,2.362245530190864,0.0
2020-01-25,72.78086377374086,94.3827723152378,289.37806228302986,384.1780774784013,3.1846436504057483,0.0
2020-01-26,105.54612948549331,20.159079206088,193.7211530113091,194.8779970217497,2.6977170410995925,0.0
2020-01-27,42.45032112888486,72.97885434025004,116.03404037126235,46.82306837491862,2.1209010357778744,0.0
2020-01-28,118.7849009172836,75.01455795107447,170.48526080227035,277.2893992219074,2.1507035348905585,0.0
2020-01-29,69.96806550405975,33.23449477308388,213.40210376078568,285.82424459724615,1.9817099800615772,0.0
2020-01-30,85.41531251033616,84.81163250160822,292.1911088222788,313.5563416414709,1.1310976920767501,0.0
2020-01-31,69.91466938853016,43.74883713502618,245.2321013711625,372.8518643514536,2.009023626234112,0.0
2020-02-01,192.6139092254469,57.21734073199643,136.2098540939717,363.7605812231209,2.6053372762710985,0.0
2020-02-02,99.3251387631033,56.508045969280516,386.3892437509169,325.87698052439214,1.700180002589398,0.0
2020-02-03,47.114453552204985,46.6422814632363,219.85814832334847,419.55313880867095,2.205976499530905,0.0
2020-02-04,141.12724560515946,70.27020682899456,295.6543053499261,148.10302191866853,2.425795522946599,0.0
2020-02-05,38.957817501448886,69.83721801380533,188.62141748170782,350.45818144773904,1.5451597803437622,0.0
2020-02-06,110.44317975023777,6.28670066904548,240.0019433529087,362.65383633369424,1.7743485678281676,0.0
